n,CPU,GPU,X
2,1.19209E-006,0.00447893,0.0002661551
4,9.53674E-007,0.00225401,0.0004231011
8,3.09944E-006,0.00218105,0.001421077
16,3.09944E-006,0.00225186,0.0013763911
32,4.05312E-006,0.00243092,0.0016673194
64,5.96046E-006,0.00234985,0.0025365279
128,1.00136E-005,0.00203395,0.0049232282
256,8.51154E-005,0.0115159,0.0073911201
512,9.41753E-005,0.00691986,0.0136094227
1024,0.000125885,0.00495195,0.0254212987
2048,0.000246048,0.00721192,0.034116851
4096,0.000391006,0.0119441,0.0327363301
8192,0.000863075,0.013705,0.0629751915
16384,0.00210619,0.0171409,0.1228751116
32768,0.00459814,0.0330849,0.1389800181
65536,0.00850511,0.0649738,0.1309006092
131072,0.016793,0.101196,0.1659452943
262144,0.034658,0.222119,0.1560334776
524288,0.0752211,0.303908,0.2475127341
1048576,0.157606,0.546976,0.2881406131
2097152,0.317772,1.04164,0.3050689298
4194304,0.670939,1.92915,0.3477899593
8388608,1.40652,3.58739,0.3920733458
16777216,2.82856,6.9565,0.4066067706
33554432,5.90189,14.0063,0.4213739531
50331648,,,
67108864,,,
83886080,,,
100663296,,,
117440512,,,
134217728,,,
150994944,,,
167772160,,,
184549376,,,
201326592,,,
218103808,,,
234881024,,,
251658240,,,
268435456,,,
285212672,,,
301989888,,,
318767104,,,
