size (B),cycles/load-iteration
10,5.023136
100,5.01248
1000,5.014472
4000,5.024285
6000,5.016521
12000,5.020164
14000,5.046732
16000,5.055895
16100,5.050284
16200,5.053235
16300,5.060598
16400,5.107012
16500,5.248456
16600,5.305814
16700,5.420762
16800,5.506509
16900,5.602486
17000,5.688147
18000,6.594145
19000,7.32103
20000,8.04076
21000,8.640727
22000,9.241889
23000,9.753769
24000,10.264044
25000,10.713429
26000,11.043507
27000,11.558049
28000,11.839191
30000,12.488163
32000,13.050501
33000,13.240951
34000,13.488893
35000,13.7487
36000,13.909042
38000,14.325849
40000,14.624181
45000,15.298524
60000,16.834269
100000,18.545509
500000,30.391473
1000000,35.998073
2000000,45.343829
4000000,61.05331
8000000,82.768143
